Site,Canopy,Plot,Age,Flowering,NotFlowering
MacDonald,Hardwood,MAC 06,11,,
MacDonald,Hardwood,MAC 06,12,,1
MacDonald,Hardwood,MAC 06,13,,1
MacDonald,Hardwood,MAC 06,14,,
MacDonald,Hardwood,MAC 06,15,,
MacDonald,Hardwood,MAC 06,16,,
MacDonald,Hardwood,MAC 06,17,,
MacDonald,Hardwood,MAC 06,18,,
MacDonald,Hardwood,MAC 06,19,,
MacDonald,Hardwood,MAC 06,20,,
MacDonald,Hardwood,MAC 06,21,,
MacDonald,Hardwood,MAC 06,22,,
MacDonald,Hardwood,MAC 06,23,,
MacDonald,Hardwood,MAC 06,24,,
MacDonald,Hardwood,MAC 06,25,,
MacDonald,Hardwood,MAC 06,26,,
MacDonald,Hardwood,MAC 06,27,,
MacDonald,Hardwood,MAC 06,28,,
MacDonald,Hardwood,MAC 06,29,,
MacDonald,Hardwood,MAC 06,30,,
MacDonald,Hardwood,MAC 06,31,,
MacDonald,Hardwood,MAC 06,32,,
MacDonald,Hardwood,MAC 06,33,,
MacDonald,Hardwood,MAC 06,34,,
MacDonald,Hardwood,MAC 06,35,,
MacDonald,Hardwood,MAC 06,36,,
MacDonald,Hardwood,MAC 06,37,,
MacDonald,Hardwood,MAC 06,38,,
MacDonald,Hardwood,MAC 06,39,,
MacDonald,Hardwood,MAC 06,40,,
MacDonald,Hardwood,MAC 06,41,,
MacDonald,Hardwood,MAC 06,42,,
MacDonald,Hardwood,MAC 06,43,,
MacDonald,Hardwood,MAC 06,44,,
MacDonald,Hardwood,MAC 06,45,,
MacDonald,Hardwood,MAC 06,46,,
MacDonald,Hardwood,MAC 06,47,,
MacDonald,Hardwood,MAC 06,48,,
MacDonald,Hardwood,MAC 06,49,,
MacDonald,Hardwood,MAC 06,50,,
MacDonald,Hardwood,MAC 06,51,,
MacDonald,Hardwood,MAC 06,52,,
MacDonald,Hardwood,MAC 06,53,,
MacDonald,Hardwood,MAC 06,54,,
MacDonald,Hardwood,MAC 06,55,,
MacDonald,Hardwood,MAC 06,56,,
MacDonald,Hardwood,MAC 06,57,,
MacDonald,Hardwood,MAC 06,58,,
MacDonald,Hardwood,MAC 08,0,,1
MacDonald,Hardwood,MAC 08,1,,
MacDonald,Hardwood,MAC 08,2,,
MacDonald,Hardwood,MAC 08,3,,2
MacDonald,Hardwood,MAC 08,4,,2
MacDonald,Hardwood,MAC 08,5,,1
MacDonald,Hardwood,MAC 08,6,,
MacDonald,Hardwood,MAC 08,7,,
MacDonald,Hardwood,MAC 08,8,,
MacDonald,Hardwood,MAC 08,9,,
MacDonald,Hardwood,MAC 08,10,,
MacDonald,Hardwood,MAC 08,11,,
MacDonald,Hardwood,MAC 08,12,,
MacDonald,Hardwood,MAC 08,13,,
MacDonald,Hardwood,MAC 08,14,,
MacDonald,Hardwood,MAC 08,15,,
MacDonald,Hardwood,MAC 08,16,,
MacDonald,Hardwood,MAC 08,17,,
MacDonald,Hardwood,MAC 08,18,,
MacDonald,Hardwood,MAC 08,19,,
MacDonald,Hardwood,MAC 08,20,,
MacDonald,Hardwood,MAC 08,21,,
MacDonald,Hardwood,MAC 08,22,,
MacDonald,Hardwood,MAC 08,23,,
MacDonald,Hardwood,MAC 08,24,,
MacDonald,Hardwood,MAC 08,25,,
MacDonald,Hardwood,MAC 08,26,,
MacDonald,Hardwood,MAC 08,27,,
MacDonald,Hardwood,MAC 08,28,,
MacDonald,Hardwood,MAC 08,29,,
MacDonald,Hardwood,MAC 08,30,,
MacDonald,Hardwood,MAC 08,31,,
MacDonald,Hardwood,MAC 08,32,,
MacDonald,Hardwood,MAC 08,33,,
MacDonald,Hardwood,MAC 08,34,,
MacDonald,Hardwood,MAC 08,35,,
MacDonald,Hardwood,MAC 08,36,,
MacDonald,Hardwood,MAC 08,37,,
MacDonald,Hardwood,MAC 08,38,,
MacDonald,Hardwood,MAC 08,39,,
MacDonald,Hardwood,MAC 08,40,,
MacDonald,Hardwood,MAC 08,41,,
MacDonald,Hardwood,MAC 08,42,,
MacDonald,Hardwood,MAC 08,43,,
MacDonald,Hardwood,MAC 08,44,,
MacDonald,Hardwood,MAC 08,45,,
MacDonald,Hardwood,MAC 08,46,,
MacDonald,Hardwood,MAC 08,47,,
MacDonald,Hardwood,MAC 08,48,,
MacDonald,Hardwood,MAC 08,49,,
MacDonald,Hardwood,MAC 08,50,,
MacDonald,Hardwood,MAC 08,51,,
MacDonald,Hardwood,MAC 08,52,,
MacDonald,Hardwood,MAC 08,53,,
MacDonald,Hardwood,MAC 08,54,,
MacDonald,Hardwood,MAC 08,55,,
MacDonald,Hardwood,MAC 08,56,,
MacDonald,Hardwood,MAC 08,57,,
MacDonald,Hardwood,MAC 08,58,,
MacDonald,Hardwood,MAC 09,0,,
MacDonald,Hardwood,MAC 09,1,,2
MacDonald,Hardwood,MAC 09,2,,2
MacDonald,Hardwood,MAC 09,3,,
MacDonald,Hardwood,MAC 09,4,,2
MacDonald,Hardwood,MAC 09,5,,3
MacDonald,Hardwood,MAC 09,6,,2
MacDonald,Hardwood,MAC 09,7,,2
MacDonald,Hardwood,MAC 09,8,,1
MacDonald,Hardwood,MAC 09,9,,
MacDonald,Hardwood,MAC 09,10,,3
MacDonald,Hardwood,MAC 09,11,,1
MacDonald,Hardwood,MAC 09,12,,
MacDonald,Hardwood,MAC 09,13,,
MacDonald,Hardwood,MAC 09,14,,
MacDonald,Hardwood,MAC 09,15,,
MacDonald,Hardwood,MAC 09,16,,
MacDonald,Hardwood,MAC 09,17,,
MacDonald,Hardwood,MAC 09,18,,
MacDonald,Hardwood,MAC 09,19,,
MacDonald,Hardwood,MAC 09,20,,
MacDonald,Hardwood,MAC 09,21,,
MacDonald,Hardwood,MAC 09,22,,
MacDonald,Hardwood,MAC 09,23,,
MacDonald,Hardwood,MAC 09,24,,
MacDonald,Hardwood,MAC 09,25,,
MacDonald,Hardwood,MAC 09,26,,
MacDonald,Hardwood,MAC 09,27,,
MacDonald,Hardwood,MAC 09,28,,
MacDonald,Hardwood,MAC 09,29,,
MacDonald,Hardwood,MAC 09,30,,
MacDonald,Hardwood,MAC 09,31,,
MacDonald,Hardwood,MAC 09,32,,
MacDonald,Hardwood,MAC 09,33,,
MacDonald,Hardwood,MAC 09,34,,
MacDonald,Hardwood,MAC 09,35,,
MacDonald,Hardwood,MAC 09,36,,
MacDonald,Hardwood,MAC 09,37,,
MacDonald,Hardwood,MAC 09,38,,
MacDonald,Hardwood,MAC 09,39,,
MacDonald,Hardwood,MAC 09,40,,
MacDonald,Hardwood,MAC 09,41,,
MacDonald,Hardwood,MAC 09,42,,
MacDonald,Hardwood,MAC 09,43,,
MacDonald,Hardwood,MAC 09,44,,
MacDonald,Hardwood,MAC 09,45,,
MacDonald,Hardwood,MAC 09,46,,
MacDonald,Hardwood,MAC 09,47,,
MacDonald,Hardwood,MAC 09,48,,
MacDonald,Hardwood,MAC 09,49,,
MacDonald,Hardwood,MAC 09,50,,
MacDonald,Hardwood,MAC 09,51,,
MacDonald,Hardwood,MAC 09,52,,
MacDonald,Hardwood,MAC 09,53,,
MacDonald,Hardwood,MAC 09,54,,
MacDonald,Hardwood,MAC 09,55,,
MacDonald,Hardwood,MAC 09,56,,
MacDonald,Hardwood,MAC 09,57,,
MacDonald,Hardwood,MAC 09,58,,
West Foss Farm,Hardwood,WFF 04,0,,
West Foss Farm,Hardwood,WFF 04,1,,
West Foss Farm,Hardwood,WFF 04,2,,
West Foss Farm,Hardwood,WFF 04,3,,
West Foss Farm,Hardwood,WFF 04,4,,1
West Foss Farm,Hardwood,WFF 04,5,,
West Foss Farm,Hardwood,WFF 04,6,,
West Foss Farm,Hardwood,WFF 04,7,,
West Foss Farm,Hardwood,WFF 04,8,,
West Foss Farm,Hardwood,WFF 04,9,,
West Foss Farm,Hardwood,WFF 04,10,,
West Foss Farm,Hardwood,WFF 04,11,,
West Foss Farm,Hardwood,WFF 04,12,,
West Foss Farm,Hardwood,WFF 04,13,,
West Foss Farm,Hardwood,WFF 04,14,,
West Foss Farm,Hardwood,WFF 04,15,,
West Foss Farm,Hardwood,WFF 04,16,,
West Foss Farm,Hardwood,WFF 04,17,,
West Foss Farm,Hardwood,WFF 04,18,,
West Foss Farm,Hardwood,WFF 04,19,,
West Foss Farm,Hardwood,WFF 04,20,,
West Foss Farm,Hardwood,WFF 04,21,,
West Foss Farm,Hardwood,WFF 04,22,,
West Foss Farm,Hardwood,WFF 04,23,,
West Foss Farm,Hardwood,WFF 04,24,,
West Foss Farm,Hardwood,WFF 04,25,,
West Foss Farm,Hardwood,WFF 04,26,,
West Foss Farm,Hardwood,WFF 04,27,,
West Foss Farm,Hardwood,WFF 04,28,,
West Foss Farm,Hardwood,WFF 04,29,,
West Foss Farm,Hardwood,WFF 04,30,,
West Foss Farm,Hardwood,WFF 04,31,,
West Foss Farm,Hardwood,WFF 04,32,,
West Foss Farm,Hardwood,WFF 04,33,,
West Foss Farm,Hardwood,WFF 04,34,,
West Foss Farm,Hardwood,WFF 04,35,,
West Foss Farm,Hardwood,WFF 04,36,,
West Foss Farm,Hardwood,WFF 04,37,,
West Foss Farm,Hardwood,WFF 04,38,,
West Foss Farm,Hardwood,WFF 04,39,,
West Foss Farm,Hardwood,WFF 04,40,,
West Foss Farm,Hardwood,WFF 04,41,,
West Foss Farm,Hardwood,WFF 04,42,,
West Foss Farm,Hardwood,WFF 04,43,,
West Foss Farm,Hardwood,WFF 04,44,,
West Foss Farm,Hardwood,WFF 04,45,,
West Foss Farm,Hardwood,WFF 04,46,,
West Foss Farm,Hardwood,WFF 04,47,,
West Foss Farm,Hardwood,WFF 04,48,,
West Foss Farm,Hardwood,WFF 04,49,,
West Foss Farm,Hardwood,WFF 04,50,,
West Foss Farm,Hardwood,WFF 04,51,,
West Foss Farm,Hardwood,WFF 04,52,,
West Foss Farm,Hardwood,WFF 04,53,,
West Foss Farm,Hardwood,WFF 04,54,,
West Foss Farm,Hardwood,WFF 04,55,,
West Foss Farm,Hardwood,WFF 04,56,,
West Foss Farm,Hardwood,WFF 04,57,,
West Foss Farm,Hardwood,WFF 04,58,,
