response,td,smp,Dev
sdNg0,3,18780,436971.19420347037
sdNg0,3,20225,433965.4810608808
sdNg0,3,21669,435952.79027980147
sdNg0,3,23114,436461.3818392266
sdNg0,3,24558,435800.08778313396
sdNg0,3,26003,435526.9973820622
sdNg0,5,13002,424829.6710333279
sdNg0,5,14446,427024.80719187815
sdNg0,5,15891,425269.668421528
sdNg0,5,17335,425314.076563986
sdNg0,5,18780,425508.0048898185
sdNg0,5,20225,423182.7962533842
sdNg0,5,21669,424868.2393282856
sdNg0,5,23114,425200.0202126163
sdNg0,5,24558,424491.1559795228
sdNg0,5,26003,424252.7286623739
