response,td,smp,param,rel.inf
pOcc,1,13002,bird.hab,3.065754749901601e-4
pOcc,1,13002,g.B,0.01761438926857923
pOcc,1,13002,gamma,0.0012870122228866917
pOcc,1,13002,K,2.069507021297502e-4
pOcc,1,13002,m,0.3627503572467647
pOcc,1,13002,mu,0.0198119951395426
pOcc,1,13002,N.0,1.5032941670447942e-4
pOcc,1,13002,n.ldd,0.47581615947810435
pOcc,1,13002,p,0.007938806529743749
pOcc,1,13002,p.c,8.999421256933939e-4
pOcc,1,13002,p.f,0.011594696302940789
pOcc,1,13002,s.B,0.007510408696458232
pOcc,1,13002,s.c,0.002323130934018567
pOcc,1,13002,s.M,0.03998546127928207
pOcc,1,13002,s.N,1.3248867647534004e-4
pOcc,1,13002,sdd.max,6.946142001985557e-5
pOcc,1,13002,sdd.rate,0.05160183508566606
pOcc,1,14446,bird.hab,2.1403626878968172e-4
pOcc,1,14446,g.B,0.017469328665629388
pOcc,1,14446,gamma,9.754992236990066e-4
pOcc,1,14446,K,1.9756787304347364e-4
pOcc,1,14446,m,0.3590310456455288
pOcc,1,14446,mu,0.019460647799783584
pOcc,1,14446,N.0,5.6293140555960335e-5
pOcc,1,14446,n.ldd,0.4802935340907572
pOcc,1,14446,p,0.00801802601770552
pOcc,1,14446,p.c,0.0013999875810302646
pOcc,1,14446,p.f,0.011165868358517383
pOcc,1,14446,s.B,0.008034804466563801
pOcc,1,14446,s.c,0.002348109860747864
pOcc,1,14446,s.M,0.041469041589876784
pOcc,1,14446,s.N,3.4919064599309277e-4
pOcc,1,14446,sdd.max,3.7848901589734696e-6
pOcc,1,14446,sdd.rate,0.0495132338816193
pOcc,1,15891,bird.hab,3.463566749656432e-4
pOcc,1,15891,g.B,0.017650767710119423
pOcc,1,15891,gamma,0.0010226775056420927
pOcc,1,15891,K,1.0348026329761108e-4
pOcc,1,15891,m,0.3584627781323293
pOcc,1,15891,mu,0.01987743595797763
pOcc,1,15891,N.0,3.6322001890540197e-5
pOcc,1,15891,n.ldd,0.4792196093883977
pOcc,1,15891,p,0.007929269079665843
pOcc,1,15891,p.c,9.316889141572168e-4
pOcc,1,15891,p.f,0.01161047604576509
pOcc,1,15891,s.B,0.008275676189133822
pOcc,1,15891,s.c,0.0019626018079088913
pOcc,1,15891,s.M,0.04091283925892645
pOcc,1,15891,s.N,3.415656846958479e-4
pOcc,1,15891,sdd.max,0
pOcc,1,15891,sdd.rate,0.0513164553851269
pOcc,1,17335,bird.hab,3.3752731011520604e-4
pOcc,1,17335,g.B,0.017869367367397325
