x,y,x_y,Opn,Oth,Dec,Evg,WP,Mxd,lon,lat,inbd,id,id.in,in.UNH,Property,id.full,id.in.full
42,24,42_24,0.42678492,0.190664605,0.043108773,0.004633688,0.105837287,0.228970737,825000,4806000,TRUE,37,37,FALSE,NA,1468,1053
43,24,43_24,0.288400106,0.084198514,0.088878611,0.017097348,0.144188225,0.377237215,828000,4806000,TRUE,38,38,FALSE,NA,1469,1054
44,24,44_24,0.279977567,0.276527738,0.006422511,0.007095759,0.154796434,0.275180001,831000,4806000,TRUE,39,39,FALSE,NA,1470,1055
45,24,45_24,0.251730134,0.07771154,0.018016904,0.01212412,0.21688101,0.423536287,834000,4806000,TRUE,40,40,FALSE,NA,1471,1056
46,24,46_24,0.192964302,0.050842991,0.102083662,0.037519552,0.179861186,0.436728305,837000,4806000,TRUE,41,41,FALSE,NA,1472,1057
47,24,47_24,0.202147744,0.057426215,0.031193659,0.023606285,0.262312828,0.423313274,840000,4806000,TRUE,42,42,FALSE,NA,1473,1058
48,24,48_24,0.271929235,0.155338726,0.032377402,0.015337294,0.128026298,0.396991036,843000,4806000,TRUE,43,43,FALSE,NA,1474,1059
49,24,49_24,0.248356201,0.097654857,0.041525227,0.014615754,0.112744543,0.485103419,846000,4806000,TRUE,44,44,FALSE,NA,1475,1060
50,24,50_24,0.171721197,0.112442483,0.047917022,0.01721979,0.092897463,0.557802043,849000,4806000,TRUE,45,45,FALSE,NA,1476,1061
51,24,51_24,0.163350717,0.061182018,0.051020453,0.012456348,0.056705467,0.655284993,852000,4806000,TRUE,46,46,FALSE,NA,1477,1062
29,25,29_25,0.128116339,0.116447967,0.244744973,0.083163311,0.169153457,0.258373973,786000,4803000,TRUE,47,47,FALSE,NA,1517,1088
30,25,30_25,0.066644449,0.211998472,0.281725172,0.036480069,0.104410416,0.298741433,789000,4803000,TRUE,48,48,FALSE,NA,1518,1089
31,25,31_25,0.065526302,0.218162002,0.234755078,0.047353311,0.196093764,0.238109558,792000,4803000,TRUE,49,49,FALSE,NA,1519,1090
32,25,32_25,0.19529083,0.198600683,0.077625294,0.069881403,0.206313684,0.252288133,795000,4803000,TRUE,50,50,FALSE,NA,1520,1091
33,25,33_25,0.228385357,0.149310029,0.134549046,0.015582543,0.068259377,0.403913651,798000,4803000,TRUE,51,51,FALSE,NA,1521,1092
34,25,34_25,0.070461878,0.068165085,0.230266839,0.024673538,0.077510373,0.528922289,801000,4803000,TRUE,52,52,FALSE,NA,1522,1093
35,25,35_25,0.101493177,0.144390863,0.160712624,0.026552949,0.106344264,0.460506122,804000,4803000,TRUE,53,53,FALSE,NA,1523,1094
36,25,36_25,0.105329926,0.097657827,0.064715831,0.007965556,0.265234402,0.459096444,807000,4803000,TRUE,54,54,FALSE,NA,1524,1095
37,25,37_25,0.040597972,0.056251857,0.160326169,0.012474855,0.255668916,0.474680234,810000,4803000,TRUE,55,55,FALSE,NA,1525,1096
38,25,38_25,0.043116231,0.04020431,0.168249163,0.021285651,0.073062727,0.654081911,813000,4803000,TRUE,56,56,FALSE,NA,1526,1097
39,25,39_25,0.100947027,0.148997403,0.13463575,0.042900471,0.080959501,0.491559834,816000,4803000,TRUE,57,57,FALSE,NA,1527,1098
40,25,40_25,0.167384776,0.126471697,0.183851805,0.015915428,0.050345728,0.456030572,819000,4803000,TRUE,58,58,FALSE,NA,1528,1099
41,25,41_25,0.21963672,0.080075736,0.153697857,0.010171844,0.084877181,0.451540656,822000,4803000,TRUE,59,59,FALSE,NA,1529,1100
42,25,42_25,0.62280177,0.122853946,0.043269791,0.001335879,0.076589449,0.13314916,825000,4803000,TRUE,60,60,FALSE,NA,1530,1101
43,25,43_25,0.267497255,0.085525533,0.152348447,0.015913645,0.037465942,0.441249181,828000,4803000,TRUE,61,61,FALSE,NA,1531,1102
44,25,44_25,0.163602906,0.296297291,0.045630776,0.001630685,0.093662178,0.399176179,831000,4803000,TRUE,62,62,FALSE,NA,1532,1103
45,25,45_25,0.291528791,0.079998734,0.08316323,0.014521606,0.115836955,0.41495069,834000,4803000,TRUE,63,63,FALSE,NA,1533,1104
46,25,46_25,0.227369715,0.073050417,0.067108438,0.012959331,0.068990441,0.550521664,837000,4803000,TRUE,64,64,FALSE,NA,1534,1105
47,25,47_25,0.229602792,0.1188429,0.019346093,0.011449883,0.113900706,0.506857628,840000,4803000,TRUE,65,65,FALSE,NA,1535,1106
48,25,48_25,0.275355118,0.129878395,0.025629135,0.019561171,0.187091449,0.362484729,843000,4803000,TRUE,66,66,FALSE,NA,1536,1107
49,25,49_25,0.199958973,0.033007214,0.068966665,0.028363306,0.156744227,0.512959626,846000,4803000,TRUE,67,67,FALSE,NA,1537,1108
50,25,50_25,0.115680191,0.015254692,0.124963816,0.022634738,0.078385061,0.643081497,849000,4803000,TRUE,68,68,FALSE,NA,1538,1109
51,25,51_25,0.121611529,0.049874197,0.116121151,0.019385902,0.085111368,0.607895835,852000,4803000,TRUE,69,69,FALSE,NA,1539,1110
29,26,29_26,0.207094418,0.171052117,0.231704995,0.030507695,0.210811023,0.148829769,786000,4800000,TRUE,70,70,FALSE,NA,1579,1136
30,26,30_26,0.027330647,0.133010925,0.484575461,0.041956577,0.062027423,0.251098951,789000,4800000,TRUE,71,71,FALSE,NA,1580,1137
31,26,31_26,0.085127047,0.101876131,0.235700694,0.077436845,0.21972832,0.280130977,792000,4800000,TRUE,72,72,FALSE,NA,1581,1138
32,26,32_26,0.100790323,0.119742323,0.129428182,0.080869839,0.183744588,0.385424739,795000,4800000,TRUE,73,73,FALSE,NA,1582,1139
33,26,33_26,0.0806083,0.066689299,0.365316262,0.009142186,0.038388771,0.439855174,798000,4800000,TRUE,74,74,FALSE,NA,1583,1140
34,26,34_26,0.056907092,0.070439518,0.335009603,0.015407739,0.05814431,0.464091758,801000,4800000,TRUE,75,75,FALSE,NA,1584,1141
