cellID,lon,lat,Dec,Evg,Mxd,Opn,Oth,WP
387,741000,4737000,0.15618648125937,0.12662911844078,0.345308099450275,0.141593192903548,0.102739562918541,0.127543562718641
388,741000,4740000,0.147446216891554,0.0863120602698651,0.368425356321839,0.153319836081959,0.153848547226387,0.0906479797101449
389,741000,4743000,0.168771992503748,0.110061184207896,0.264382352323838,0.111069315642179,0.243935756121939,0.101779388255872
390,741000,4746000,0.123868550224888,0.0592213301849075,0.251465929535232,0.252932653173413,0.211666726636682,0.100844794852574
391,741000,4749000,0.327164122438781,0.0535347836581709,0.337171383808096,0.106624718890555,0.113647030734633,0.0618579505747126
392,741000,4752000,0.365037195402299,0.0726180449275362,0.354019581709145,0.034500167966017,0.121821597701149,0.0520034060969515
393,741000,4755000,0.422899672163918,0.0221806700649675,0.245107875562219,0.0884337103948026,0.192808406296852,0.0285696539230385
394,741000,4758000,0.2943142003998,0.0665514814092954,0.444584796601699,0.095211380109945,0.0734151116441779,0.0259230474262869
395,741000,4761000,0.325000635182409,0.10986832113943,0.41108880309845103,0.0211525295452274,0.0959488373313343,0.0369408742628686
396,741000,4764000,0.503154315342329,0.108434455722139,0.266203904547726,0.019917953948026,0.0736770082958521,0.0286123502748626
397,741000,4767000,0.459410702648676,0.0653153703148426,0.281848669165417,0.0648304052473763,0.0807511095452274,0.0478437476261869
398,741000,4770000,0.513757032483758,0.191732461269365,0.215214826586707,0.00602078953273363,0.0671686540729635,0.00610622943183408
399,741000,4773000,0.574813133433283,0.114787317341329,0.229105254872564,0.0321534523738131,0.0301280722638681,0.0190127757271364
400,741000,4776000,0.395948990004998,0.123396515242379,0.360469261369315,0.0278518271864068,0.068508899850075,0.0238244829585207
401,741000,4779000,0.295758048475762,0.106296783258371,0.351188402798601,0.0482298666666667,0.148705754622689,0.0498211428785607
402,741000,4782000,0.280043492253873,0.0871846953023488,0.389540632683658,0.073237492103948,0.127791779110445,0.0422019185907046
403,741000,4785000,0.38502451974013,0.0721772182908546,0.375327604697651,0.0307963365317341,0.0733716992003998,0.0633026265367316
404,741000,4788000,0.263796330834583,0.0990901471764118,0.270103112943528,0.0552238534732634,0.176499900549725,0.135286655172414
405,741000,4791000,0.472032828085957,0.0797821685157421,0.369385047976012,0.0220817354822589,0.0219302790754623,0.0347879378310845
406,741000,4794000,0.298740511744128,0.124449923038481,0.360518576711644,0.0334614429285357,0.0577686983008496,0.12506083858071
